species,date,year,km1grid,km2grid,km5grid,km10grid,tp5,tp10
Vespula germanica,1940-08-09,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1936-11-12,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1940-09-07,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1936-10-30,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-07-06,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1941-05-04,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1941-09-02,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-06-22,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-10-19,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-10-15,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1936-11-05,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1935-06-03,1935,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1940-08-09,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1939-08-19,1939,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1939-06-26,1939,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1941-08-06,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-06-22,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1936-03-31,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1941-10-21,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-06-01,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1935-08-09,1935,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-06-14,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-05-20,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-05-18,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-06-01,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-05-13,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1940-10-15,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1921-10-30,1921,SO8304,SO80H,SO80SW,SO80,1920-1924,1920-1929
Vespula vulgaris,1941-10-22,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-10-22,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-10-20,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1941-08-02,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1933-09-15,1933,SO8505,SO80M,SO80NE,SO80,1930-1934,1930-1939
Vespula germanica,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1941-10-03,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1938-08-01,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1941-07-23,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1938-05-05,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1941-05-16,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-08-19,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1936-10-30,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1945-04-09,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula germanica,1933-09-16,1933,SO8505,SO80M,SO80NE,SO80,1930-1934,1930-1939
Vespula vulgaris,1947-10-25,1947,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1943-07-17,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1943-07-16,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1943-07-17,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1942-08-06,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1943-04-13,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1939-07-20,1939,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1939-07-20,1939,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1942-08-03,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1943-07-16,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1945-04-12,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula germanica,1940-08-29,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-05-05,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-06-22,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1939-08-19,1939,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1944-10-19,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1942-04-14,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-05-20,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1942-04-15,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-08-23,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula germanica,1941-07-29,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-07-06,1940,SO8505,SO80M,SO80NE,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-04-13,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1945-04-15,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1944-07-14,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1945-04-09,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1943-07-22,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1936-10-28,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1933-09-18,1933,SO8505,SO80M,SO80NE,SO80,1930-1934,1930-1939
Vespula vulgaris,1943-06-29,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1940-09-29,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-10-20,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1944-07-14,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-08-01,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-05-03,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-10-15,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-10-20,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1943-07-22,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1944-08-12,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1945-04-12,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula germanica,1944-08-02,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula germanica,1940-08-22,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-13,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1936-11-13,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1936-11-12,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-10-28,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-11-02,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1941-09-25,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1936-10-30,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1943-07-16,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-07-06,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-04-12,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1940-05-04,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-04-12,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1940-05-08,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-06-04,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1944-07-14,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1944-10-22,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1922-05-06,1922,SO8304,SO80H,SO80SW,SO80,1920-1924,1920-1929
Vespula germanica,1933-10-29,1933,SO8304,SO80H,SO80SW,SO80,1930-1934,1930-1939
Vespula germanica,1933-10-29,1933,SO8304,SO80H,SO80SW,SO80,1930-1934,1930-1939
Vespula germanica,1944-07-14,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-08-06,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1942-07-22,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula germanica,1943-05-27,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1941-09-02,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1945-08-19,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1941-08-06,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1939-07-20,1939,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1941-05-20,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1982-08-29,1982,SO8304,SO80H,SO80SW,SO80,1980-1984,1980-1989
Vespula germanica,1943-09-09,1943,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-07-25,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1936-08-07,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1944-08-26,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1944-07-13,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1942-10-02,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1944-07-17,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-07-19,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-07-06,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-04-09,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula germanica,1941-08-24,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1944-06-19,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-08-06,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1941-08-06,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-04-12,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1945-05-17,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula germanica,1933-09-29,1933,SO8505,SO80M,SO80NE,SO80,1930-1934,1930-1939
Vespula vulgaris,1938-08-12,1938,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-10-15,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1947-10-25,1947,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1944-07-24,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1945-04-09,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1942-08-06,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-08-12,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1945-04-27,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula germanica,1933-10-29,1933,SO8304,SO80H,SO80SW,SO80,1930-1934,1930-1939
Vespula germanica,1945-08-26,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1940-10-15,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-07-01,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1936-11-05,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1941-10-20,1941,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1944-07-21,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-10-03,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1947-10-25,1947,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1938-08-08,1938,SO8304,SO80H,SO80SW,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-07-06,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1945-04-27,1945,SO8304,SO80H,SO80SW,SO80,1945-1949,1940-1949
Vespula vulgaris,1944-07-21,1944,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1942-08-02,1942,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1936-10-28,1936,SO8505,SO80M,SO80NE,SO80,1935-1939,1930-1939
Vespula vulgaris,1940-06-26,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula vulgaris,1940-10-20,1940,SO8304,SO80H,SO80SW,SO80,1940-1944,1940-1949
Vespula germanica,1925-11-02,1925,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1927-05-05,1927,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1922-06-01,1922,SP5102,SP50B,SP50SW,SP50,1920-1924,1920-1929
Vespula vulgaris,1916-10-09,1916,SP5107,SP50D,SP50NW,SP50,1915-1919,1910-1919
Vespula vulgaris,1916-10-09,1916,SP5107,SP50D,SP50NW,SP50,1915-1919,1910-1919
Vespula vulgaris,1916-03-31,1916,SP5106,SP50D,SP50NW,SP50,1915-1919,1910-1919
Vespula germanica,1925-08-02,1925,SP5102,SP50B,SP50SW,SP50,1925-1929,1920-1929
Vespula germanica,1927-10-03,1927,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1901-05-19,1901,SP5605,SP50S,SP50NE,SP50,1900-1904,1900-1909
Vespula germanica,1916-10-09,1916,SP5107,SP50D,SP50NW,SP50,1915-1919,1910-1919
Vespula germanica,1901-04-19,1901,SP5605,SP50S,SP50NE,SP50,1900-1904,1900-1909
Vespula germanica,1921-09-01,1921,SP5107,SP50D,SP50NW,SP50,1920-1924,1920-1929
Vespula germanica,1905-04-12,1905,SP5106,SP50D,SP50NW,SP50,1905-1909,1900-1909
Vespula vulgaris,1902-10-19,1902,SP5107,SP50D,SP50NW,SP50,1900-1904,1900-1909
Vespula germanica,1925-10-10,1925,SP5106,SP50D,SP50NW,SP50,1925-1929,1920-1929
Vespula germanica,1933-05-19,1933,SP5106,SP50D,SP50NW,SP50,1930-1934,1930-1939
